# nonlinearity_SrTiO3.csv - produced by scripts/check_shear_nonlinearity.py
# (A5' scope cut, 2026-07-18; q-convention + degenerate-pairing fixed 2026-07-20,
# see G1' incident log in data/processed/reports/GATE_1p.md)
# BZ-weighted <gamma_xy>=0.002054 rms(gamma_xy)=7.434158 |<gamma_xy>|/rms=0.000276 (pass)
# off-grid 11^3: non-degenerate 18385 stable, 2961 flagged (16.1%); degenerate 1443 stable, 390 flagged (27.0%)
# on-grid 4^3 (exact): non-degenerate 683 stable, 99 flagged (14.5%); degenerate 260 stable, 56 flagged (21.5%)
# eta_44 sensitivity @ 300K: Delta_eta/eta = +1.3768(+)/+0.8707(-), worst=1.3768
# DECISION (omega-space): FAIL
# omega^2 basis: BZ <gamma_omega2>=0.036914 rms=5.306441 |mean|/rms=0.006957; on-grid non-degenerate flag rate=27.5%; eta_44 sensitivity worst=21.9234
# DECISION (omega^2-space, task 2 criteria): FAIL
q_index,qx,qy,qz,branch,omega_ref_cm1,gamma_xy,a1_linear,a2_curvature,curvature_over_rms_gamma,D_domega2,b2_curvature_omega2,gamma_omega2,a2_pred_sqrt,unstable_flag,degenerate_flag,flag_gt_threshold
2,0.000000,0.000000,0.181800,4,90.1855,-4.9073,442.5629,81.3800,0.0006,79827.3180,210540.6788,-4.9074,-1085.9326,0,1,0
2,0.000000,0.000000,0.181800,5,106.7687,0.0381,-4.0635,-2843.5000,0.0179,-867.1318,-606975.1409,0.0380,-0.0772,0,0,0
2,0.000000,0.000000,0.181800,6,152.0340,5.1100,-776.8911,-64646.7000,0.2860,-233716.5258,-18948951.0301,5.0557,-1942.9733,0,1,1
2,0.000000,0.000000,0.181800,7,152.0340,-5.0936,774.4003,-66320.1000,0.2934,232902.4104,-19456163.3283,-5.0381,-1929.4608,0,1,1
2,0.000000,0.000000,0.181800,8,196.8774,-0.0516,10.1660,-9483.4800,0.0324,3998.0898,-3731813.0839,-0.0516,-0.2618,0,0,0
2,0.000000,0.000000,0.181800,9,242.5405,-0.0151,3.6630,-4048.6400,0.0112,1776.1101,-1963495.0218,-0.0151,-0.0276,0,0,0
2,0.000000,0.000000,0.181800,10,247.8466,1.2211,-302.6549,-10621.6600,0.0288,-149863.2162,-5170663.2837,1.2198,-184.3960,0,1,0
2,0.000000,0.000000,0.181800,11,247.8466,-1.2534,310.6398,-11585.6800,0.0314,153802.0624,-5643089.0585,-1.2519,-194.2163,0,1,0
2,0.000000,0.000000,0.181800,12,466.0068,0.0047,-2.2101,-4647.2600,0.0067,-2059.3295,-4330764.3129,0.0047,-0.0052,0,0,0
2,0.000000,0.000000,0.181800,13,527.2617,1.7134,-903.4327,39771.1800,0.0507,-954487.4499,42795374.1885,1.7167,-776.9119,0,1,0
2,0.000000,0.000000,0.181800,14,527.2617,-1.7192,906.4652,37865.5600,0.0483,957604.9535,40787643.1730,-1.7223,-781.9952,0,1,0
2,0.000000,0.000000,0.181800,15,767.4059,-0.0037,2.8382,15627.3200,0.0137,4358.3204,23991107.6781,-0.0037,-0.0053,0,0,0
3,0.000000,0.000000,0.272700,1,45.8522,27.0006,-1238.0369,127416.9800,1.8690,-121420.6955,13623301.8268,28.8764,-19116.8287,0,1,1
3,0.000000,0.000000,0.272700,2,45.8522,-26.6211,1220.6363,130766.9000,1.9181,119918.5802,13909344.0040,-28.5192,-18646.7596,0,1,1
3,0.000000,0.000000,0.272700,3,123.8248,3.0935,-383.0534,-85764.0000,0.4658,-93220.4017,-20908801.5649,3.0399,-572.1491,0,1,1
3,0.000000,0.000000,0.272700,4,123.8248,-3.2059,396.9659,-79251.7000,0.4305,96735.4249,-19312047.0192,-3.1546,-616.1101,0,1,1
3,0.000000,0.000000,0.272700,5,135.3599,0.0212,-2.8637,3639.3400,0.0181,-775.7811,985580.3609,0.0212,-0.0303,0,0,0
3,0.000000,0.000000,0.272700,6,147.2843,3.1052,-457.3540,-9455.4800,0.0432,-134505.8823,-2573879.2560,3.1003,-707.8209,0,1,0
3,0.000000,0.000000,0.272700,7,147.2843,-3.1114,458.2601,-11511.1400,0.0526,134725.2611,-3177504.9099,-3.1053,-710.1317,0,1,0
3,0.000000,0.000000,0.272700,8,233.0504,-0.0463,10.7988,3719.4400,0.0107,5035.3385,1734096.7568,-0.0464,-0.2504,0,0,0
3,0.000000,0.000000,0.272700,9,255.6016,-0.0185,4.7215,-3468.9800,0.0091,2412.8274,-1773030.8578,-0.0185,-0.0436,0,0,0
3,0.000000,0.000000,0.272700,10,271.2010,0.0992,-26.8921,-6469.5800,0.0160,-14577.6301,-3507343.6242,0.0991,-1.3317,0,1,0
3,0.000000,0.000000,0.272700,11,271.2010,-0.1342,36.3880,-6205.9200,0.0154,19725.6333,-3363816.5593,-0.1341,-2.4384,0,1,0
3,0.000000,0.000000,0.272700,12,487.7070,0.0070,-3.4057,185.9400,0.0003,-3321.9990,181380.9371,0.0070,-0.0119,0,0,0
3,0.000000,0.000000,0.272700,13,519.9860,1.8382,-955.8245,31270.0200,0.0404,-995525.1246,33457990.2550,1.8409,-881.1291,0,1,0
3,0.000000,0.000000,0.272700,14,519.9860,-1.8466,960.1832,31547.3200,0.0408,1000078.1782,33755161.2673,-1.8494,-889.2072,0,1,0
3,0.000000,0.000000,0.272700,15,764.5293,-0.0052,3.9489,-3541.4200,0.0031,6037.4001,-5414709.4445,-0.0052,-0.0102,0,0,0
4,0.000000,0.000000,0.363600,1,72.7249,12.6818,-922.2788,65657.8800,0.6072,-137172.9663,10508294.4779,12.9680,-6115.0231,0,1,1
4,0.000000,0.000000,0.363600,2,72.7249,-12.5432,912.1992,66226.6400,0.6125,135699.7418,10574404.9404,-12.8287,-5984.3790,0,1,1
4,0.000000,0.000000,0.363600,3,125.5330,6.2151,-780.2033,-80466.7400,0.4311,-192743.4775,-19431870.5354,6.1155,-2347.4472,0,1,1
4,0.000000,0.000000,0.363600,4,125.5330,-6.1911,777.1877,-79935.7800,0.4283,192019.1285,-19305390.1993,-6.0925,-2329.8364,0,1,1
4,0.000000,0.000000,0.363600,5,153.4098,0.0078,-1.1911,4437.3800,0.0195,-365.7172,1361969.1711,0.0078,-0.0046,0,0,0
4,0.000000,0.000000,0.363600,6,154.2668,0.9491,-146.4130,5768.1600,0.0251,-45215.5567,1801939.7285,0.9500,-69.6095,0,1,0
4,0.000000,0.000000,0.363600,7,154.2668,-1.0224,157.7147,1407.8600,0.0061,48671.3862,459295.5924,-1.0226,-80.6566,0,1,0
4,0.000000,0.000000,0.363600,8,259.5525,-0.0252,6.5416,2375.4000,0.0062,3396.5548,1233266.0959,-0.0252,-0.0825,0,0,0
4,0.000000,0.000000,0.363600,9,266.0580,-0.0177,4.7144,-3274.6400,0.0083,2507.8357,-1742197.9721,-0.0177,-0.0417,0,0,0
4,0.000000,0.000000,0.363600,10,294.3695,0.6096,-179.4512,-247.3600,0.0006,-105647.6966,-113426.2107,0.6096,-54.6955,0,1,0
4,0.000000,0.000000,0.363600,11,294.3695,-0.6417,188.9066,-1026.3600,0.0023,111206.9843,-568546.0986,-0.6417,-60.6032,0,1,0
4,0.000000,0.000000,0.363600,12,510.9688,0.0046,-2.3562,2795.1600,0.0037,-2408.2186,2856679.9152,0.0046,-0.0054,0,0,0
4,0.000000,0.000000,0.363600,13,512.5020,2.0000,-1024.9897,13988.4200,0.0184,-1051335.4705,15393682.6278,2.0013,-1026.3747,0,1,0
4,0.000000,0.000000,0.363600,14,512.5020,-2.0106,1030.4399,19222.8600,0.0252,1057195.4482,20774553.2759,-2.0125,-1037.8482,0,1,0
4,0.000000,0.000000,0.363600,15,758.7648,-0.0045,3.3780,-7582.3200,0.0067,5124.9345,-11504946.6397,-0.0045,-0.0075,0,0,0
5,0.000000,0.000000,0.454500,1,94.1282,8.8861,-836.4307,16776.3800,0.1199,-158165.0481,3864913.4264,8.9257,-3749.4863,0,1,1
5,0.000000,0.000000,0.454500,2,94.1282,-8.8204,830.2493,16122.5000,0.1152,156969.0307,3730976.1166,-8.8582,-3692.9948,0,1,1
5,0.000000,0.000000,0.454500,3,112.4113,7.4827,-841.1352,-32255.0000,0.1930,-187749.7375,-6518137.8156,7.4290,-3101.9747,0,1,1
5,0.000000,0.000000,0.454500,4,112.4113,-7.4064,832.5638,-33951.0000,0.2031,185765.9144,-6910975.9071,-7.3505,-3036.7682,0,1,1
5,0.000000,0.000000,0.454500,5,161.3193,1.6242,-262.0071,3915.6200,0.0163,-84584.9246,1332361.5455,1.6251,-213.0279,0,1,0
5,0.000000,0.000000,0.454500,6,161.3193,-1.6866,272.0745,-2071.5800,0.0086,87753.5801,-594240.0461,-1.6860,-229.2875,0,1,0
5,0.000000,0.000000,0.454500,7,162.6092,0.0007,-0.1177,682.5400,0.0028,-38.2822,221986.2653,0.0007,-0.0000,0,0,0
5,0.000000,0.000000,0.454500,8,271.6448,-0.0159,4.3119,-3294.1000,0.0082,2341.9000,-1789360.2302,-0.0159,-0.0342,0,0,0
5,0.000000,0.000000,0.454500,9,272.4712,-0.0079,2.1599,60.7400,0.0001,1177.0275,33104.5556,-0.0079,-0.0086,0,0,0
5,0.000000,0.000000,0.454500,10,308.5306,0.9045,-279.0744,2806.8800,0.0061,-172245.1282,1810096.0016,0.9047,-126.2727,0,1,0
5,0.000000,0.000000,0.454500,11,308.5306,-0.9330,287.8660,2652.8400,0.0058,177669.0995,1720007.1945,-0.9332,-134.3505,0,1,0
